nb ant: 0, food: 45/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 40/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 35/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 30/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 25/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 20/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 15/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 10/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 5/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: 0/50, nest level: 1, nb worker: 0, nb soldier: 0
nb ant: 0, food: -5/50, nest level: 1, nb worker: 0, nb soldier: 0
